Date,Port,TEU
2019-01,AK,140
2019-01,AL,4872
2019-01,CA,217385
2019-01,CT,448
2019-01,DC,26
2019-01,DE,6179
2019-01,FL,37466
2019-01,GA,56873
2019-01,HI,2925
2019-01,IL,214
2019-01,KY,14
2019-01,LA,14977
2019-01,MA,3376
2019-01,MD,20588
2019-01,ME,359
2019-01,MI,719
2019-01,MN,307
2019-01,MS,3176
2019-01,NC,4483
2019-01,NH,0
2019-01,NJ,97999
2019-01,NY,12613
2019-01,OH,20
2019-01,OR,7
2019-01,PA,15897
2019-01,PR,14315
2019-01,RI,0
2019-01,SC,29590
2019-01,TX,46389
2019-01,VA,34020
2019-01,VI,84
2019-01,WA,34506
2019-01,WI,27
2019-02,AK,166
2019-02,AL,4520
2019-02,CA,180709
2019-02,DC,28
2019-02,DE,6479
2019-02,FL,38235
2019-02,GA,42652
2019-02,HI,1045
2019-02,IL,990
2019-02,KY,18
2019-02,LA,10112
2019-02,MA,4006
2019-02,MD,16805
2019-02,ME,617
2019-02,MI,125
2019-02,MN,257
2019-02,MS,2153
2019-02,NC,2474
2019-02,NH,2926
2019-02,NJ,86781
2019-02,NY,9329
2019-02,OH,12
2019-02,OR,14
2019-02,PA,12656
2019-02,PR,8886
2019-02,RI,0
2019-02,SC,25052
2019-02,TX,37289
2019-02,VA,31496
2019-02,VI,44
2019-02,WA,29491
2019-02,WI,36
2019-03,AK,119
2019-03,AL,5143
2019-03,CA,164047
2019-03,CT,76
2019-03,DC,19
2019-03,DE,7556
2019-03,FL,38670
2019-03,GA,52893
2019-03,HI,5638
2019-03,IL,63
2019-03,IN,0
2019-03,KY,22
2019-03,LA,11562
2019-03,MA,6132
2019-03,MD,19113
2019-03,ME,500
2019-03,MI,64
2019-03,MN,354
2019-03,MS,2498
2019-03,NC,4500
2019-03,NH,1
2019-03,NJ,87535
2019-03,NY,8930
2019-03,OH,17
2019-03,OR,7
2019-03,PA,14218
2019-03,PR,13601
2019-03,SC,28678
2019-03,TX,51230
2019-03,VA,33395
2019-03,VI,47
2019-03,WA,28927
2019-03,WI,22
2019-04,AK,192
2019-04,AL,5408
2019-04,CA,186709
2019-04,CT,68
2019-04,DC,13
2019-04,DE,7464
2019-04,FL,36484
2019-04,GA,49944
2019-04,HI,5070
2019-04,IL,254
2019-04,KY,20
2019-04,LA,11769
2019-04,MA,3984
2019-04,MD,19474
2019-04,ME,810
2019-04,MI,109
2019-04,MN,383
2019-04,MS,2665
2019-04,NC,3134
2019-04,NJ,90834
2019-04,NY,9813
2019-04,OH,30
2019-04,OR,4
2019-04,PA,16923
2019-04,PR,14734
2019-04,RI,929
2019-04,SC,28385
2019-04,TX,48500
2019-04,VA,37582
2019-04,VI,29
2019-04,WA,31650
2019-04,WI,10
2019-05,AK,61
2019-05,AL,5104
2019-05,CA,207305
2019-05,DC,27
2019-05,DE,5801
2019-05,FL,34992
2019-05,GA,53432
2019-05,HI,2928
2019-05,IL,208
2019-05,KY,7
2019-05,LA,15867
2019-05,MA,3651
2019-05,MD,21761
2019-05,ME,603
2019-05,MI,91
2019-05,MN,391
2019-05,MS,2637
2019-05,NC,3491
2019-05,NH,6
2019-05,NJ,102178
2019-05,NY,10892
2019-05,OH,246
2019-05,OR,2
2019-05,PA,15380
2019-05,PR,9348
2019-05,RI,1
2019-05,SC,29704
2019-05,TX,45982
2019-05,VA,36015
2019-05,VI,44
2019-05,WA,35228
2019-05,WI,8
2019-06,AK,198
2019-06,AL,4823
2019-06,CA,190456
2019-06,CT,22
2019-06,DC,14
2019-06,DE,6404
2019-06,FL,35049
2019-06,GA,47916
2019-06,HI,5033
2019-06,IL,1459
2019-06,KY,11
2019-06,LA,13538
2019-06,MA,4166
2019-06,MD,16391
2019-06,ME,411
2019-06,MI,100
2019-06,MN,354
2019-06,MS,2429
2019-06,NC,3175
2019-06,NH,0
2019-06,NJ,91605
2019-06,NY,8914
2019-06,OH,102
2019-06,OR,3
2019-06,PA,13903
2019-06,PR,13830
2019-06,RI,38
2019-06,SC,25951
2019-06,TX,48266
2019-06,VA,32911
2019-06,VI,115
2019-06,WA,30023
2019-06,WI,61
2019-07,AK,211
2019-07,AL,5275
2019-07,CA,217710
2019-07,CT,0
2019-07,DC,28
2019-07,DE,6660
2019-07,FL,35172
2019-07,GA,54974
2019-07,HI,465
2019-07,IL,215
2019-07,KY,11
2019-07,LA,19378
2019-07,MA,3807
2019-07,MD,20761
2019-07,ME,353
2019-07,MI,1281
2019-07,MN,440
2019-07,MS,3968
2019-07,NC,4710
2019-07,NH,0
2019-07,NJ,97855
2019-07,NY,11098
2019-07,OH,1097
2019-07,OR,9
2019-07,PA,17437
2019-07,PR,11842
2019-07,RI,32
2019-07,SC,28917
2019-07,TX,44572
2019-07,VA,36414
2019-07,VI,77
2019-07,WA,34040
2019-07,WI,43
2019-08,AK,128
2019-08,AL,5583
2019-08,CA,202875
2019-08,CT,0
2019-08,DC,26
2019-08,DE,6578
2019-08,FL,34783
2019-08,GA,58294
2019-08,HI,4725
2019-08,IL,62
2019-08,KY,12
2019-08,LA,13810
2019-08,MA,4432
2019-08,MD,19550
2019-08,ME,287
2019-08,MI,191
2019-08,MN,359
2019-08,MS,2381
2019-08,NC,3406
2019-08,NH,0
2019-08,NJ,93808
2019-08,NY,10503
2019-08,OH,484
2019-08,OR,177
2019-08,PA,14684
2019-08,PR,14768
2019-08,RI,53
2019-08,SC,30554
2019-08,TX,48202
2019-08,VA,33821
2019-08,VI,37
2019-08,WA,33035
2019-08,WI,694
2019-09,AK,121
2019-09,AL,6307
2019-09,CA,193146
2019-09,CT,0
2019-09,DC,31
2019-09,DE,5710
2019-09,FL,33003
2019-09,GA,51582
